"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-12-30",333505,3900,36855,23069,5514,125220,681767,98696321,418642,3653,7930,19541562,225908,56,248690047,1534374
"2020-12-29",329605,3289,36583,22838,5261,124686,676253,98277679,349252,3635,7885,19315654,196082,56,247155673,1291843
"2020-12-28",326316,1490,36308,22579,3723,121202,670992,97928427,623308,3612,7948,19119572,163338,56,245863830,1476860
"2020-12-27",324826,1397,36164,22447,2302,118720,667269,97305119,297044,3604,7878,18956234,152978,56,244386970,1340340
"2020-12-26",323429,1426,36038,22373,2292,117344,664967,97008075,659398,3593,7809,18803256,190115,56,243046630,2122061
"2020-12-25",322003,1553,35945,22418,2047,118948,662675,96348677,310214,3592,7831,18613141,125867,56,240924569,1373275
"2020-12-24",320450,2958,35899,22623,4289,120200,660628,96038463,506039,3587,7792,18487274,204297,56,239551294,1936907
"2020-12-23",317492,3393,35695,22489,4795,119463,656339,95532424,527370,3579,7819,18282977,221906,56,237614387,1740033
"2020-12-22",314099,3137,35428,22213,4567,117777,651544,95005054,478685,3554,7830,18061071,190132,56,235874354,1727489
"2020-12-21",310962,1480,35178,21884,3111,115358,646977,94526369,814028,3539,7783,17870939,178997,56,234146865,2025427
"2020-12-20",309482,1668,35030,21763,2382,113601,643866,93712341,455908,3530,7695,17691942,196963,56,232121438,1792080
"2020-12-19",307814,2708,34949,21692,3429,113914,641484,93256433,445160,3529,7786,17494979,203346,56,230329358,1762484
"2020-12-18",305106,2866,34716,21745,5214,113955,638055,92811273,805210,3519,7786,17291633,239737,56,228566874,2197746
"2020-12-17",302240,3465,34485,21912,5167,114492,632841,92006063,531036,3504,7848,17051896,241028,56,226369128,1864588
"2020-12-16",298775,3453,34237,21943,4776,113257,627674,91475027,582624,3488,7782,16810868,231850,56,224504540,1802086
"2020-12-15",295322,2924,33958,21897,4430,112816,622898,90892403,588741,3460,7702,16579018,190593,56,222702454,1797070
"2020-12-14",292398,1357,33693,21458,3461,110573,618468,90303662,862069,3442,7699,16388425,192862,56,220905384,2095868
"2020-12-13",291041,1501,33494,21230,2314,109298,615007,89441593,513763,3432,7535,16195563,186763,56,218809516,1770163
"2020-12-12",289540,2497,33419,21198,3789,108461,612693,88927830,484998,3430,7515,16008800,225287,56,217039353,1834747
"2020-12-11",287043,2747,33237,21012,5411,108101,608904,88442832,737772,3424,7488,15783513,235471,56,215204606,1987199
"2020-12-10",284296,3132,32919,21024,4450,107300,603493,87705060,588528,3394,7444,15548042,219285,56,213217407,1887187
"2020-12-09",281164,3169,32720,20903,5300,106671,599043,87116532,639996,3376,7621,15328757,214960,56,211330220,1803813
"2020-12-08",277995,2680,32406,20475,4410,104637,593743,86476536,556192,3359,7251,15113797,215953,56,209526407,1652188
"2020-12-07",275315,1291,32120,20097,3461,102122,589333,85920344,659561,3328,7067,14897844,181473,56,207874219,1725636
"2020-12-06",274024,1163,31946,20145,2311,101501,585872,85260783,465520,3322,7095,14716371,182351,56,206148583,1620226
"2020-12-05",272861,2486,31831,19947,3513,101192,583561,84795263,626881,3321,7006,14534020,217770,56,204528357,2221953
"2020-12-04",270375,2563,31608,19853,4654,101309,580048,84168382,612167,3305,6992,14316250,228884,56,202306404,1861622
"2020-12-03",267812,2822,31276,19714,5369,100746,575394,83556215,626608,3280,6871,14087366,214805,56,200444782,1892944
"2020-12-02",264990,2811,31038,19687,5238,100327,570025,82929607,-425204,3252,6855,13872561,201746,56,198551838,1559671
"2020-12-01",262179,2489,30749,19292,4916,98736,564787,83354811,518053,3223,6643,13670815,179137,56,196992167,1456016
"2020-11-30",259690,1037,30469,18807,3394,96134,559871,82836758,731023,3205,6520,13491678,149516,56,195536151,1612731
"2020-11-29",258653,825,30274,18437,2429,93357,556477,82105735,362709,3184,6245,13342162,136967,56,193923420,1286929
"2020-11-28",257828,1243,30109,18249,3485,91762,554048,81743026,559770,3179,6148,13205195,151064,56,192636491,1616060
"2020-11-27",256585,1404,29858,18056,3418,89913,550563,81183256,798256,3171,6028,13054131,198259,56,191020431,2043917
"2020-11-26",255181,1392,29673,18019,2333,90564,547145,80385000,340800,3153,5986,12855872,129063,56,188976514,1331056
"2020-11-25",253789,2281,29540,17738,4538,90043,544812,80044200,678709,3147,5987,12726809,187677,56,187645458,1828813
"2020-11-24",251508,2091,29245,17317,4685,88132,540274,79365491,607785,3123,5626,12539132,165251,56,185816645,1805620
"2020-11-23",249417,853,28990,17060,2835,85945,535589,78757706,716643,3106,5455,12373881,154581,56,184011025,1748897
"2020-11-22",248564,923,28828,16411,2291,83882,532754,78041063,578177,3094,5233,12219300,153836,56,182262128,1771163
"2020-11-21",247641,1551,28693,16264,3375,83346,530463,77462886,675743,3087,5103,12065464,183201,56,180490965,2050730
"2020-11-20",246090,1910,28472,16146,3903,82318,527088,76787143,738811,3078,5058,11882263,196494,56,178440235,1939886
"2020-11-19",244180,2010,28216,15759,4456,80669,523185,76048332,624571,3052,4860,11685769,187169,56,176500349,1806115
"2020-11-18",242170,1885,27989,15557,4352,79478,518729,75423761,612304,3024,4699,11498600,167573,56,174694234,1652956
"2020-11-17",240285,1553,27681,15009,3887,77047,514377,74811457,545450,3004,4379,11331027,159027,56,173041278,1597739
"2020-11-16",238732,607,27437,14471,2907,73320,510490,74266007,636242,2988,4156,11172000,149711,56,171443539,1534302
"2020-11-15",238125,712,27269,13849,1868,70202,507583,73629765,576065,2975,3939,11022289,146930,56,169909237,1562806
"2020-11-14",237413,1353,27172,13491,3468,69588,505715,73053700,571664,2972,3945,10875359,167183,56,168346431,1703706
"2020-11-13",236060,1301,26997,13280,3673,68585,502247,72482036,627471,2967,3766,10708176,173954,56,166642725,1700030
"2020-11-12",234759,1112,26803,12917,3562,67236,498574,71854565,552747,2954,3622,10534222,157056,56,164942695,1570531
"2020-11-11",233647,1577,26584,12626,3281,65549,495012,71301818,547556,2947,3365,10377166,148731,56,163372164,1459379
"2020-11-10",232070,1358,26335,12057,4070,62119,491731,70754262,433576,2922,3202,10228435,133123,56,161912785,1337055
"2020-11-09",230712,577,26087,11636,2176,59342,487661,70320686,700438,2907,3111,10095312,118234,56,160575730,1453923
"2020-11-08",230135,513,25819,11223,1467,56942,485485,69620248,414407,2900,2977,9977078,112259,56,159121807,1221766
"2020-11-07",229622,1125,25721,11215,2341,56037,484018,69205841,549533,2898,2947,9864819,131637,56,157900041,1402729
"2020-11-06",228497,1185,25498,11213,3121,55005,481677,68656308,556319,2885,2850,9733182,128926,56,156497312,1663135
"2020-11-05",227312,1154,25276,11050,2553,53380,478556,68099989,580576,2872,2876,9604256,118595,56,154834177,1610214
"2020-11-04",226158,1131,25041,10892,3107,52166,476003,67519413,418763,2853,2832,9485661,105104,56,153223963,1277518
"2020-11-03",225027,1517,24796,10538,3135,50509,472896,67100650,431719,2833,2734,9380557,90012,56,151946445,1206387
"2020-11-02",223510,475,24560,9957,1399,48750,469761,66668931,618861,2809,2633,9290545,83454,56,150740058,1301791
"2020-11-01",223035,410,24457,9665,1166,47615,468362,66050070,368695,2797,2553,9207091,141973,56,149438267,1126925
"2020-10-31",222625,958,24375,9613,2116,47486,467196,65681375,535428,2786,2502,9065118,91294,56,148311342,1414727
"2020-10-30",221667,947,24230,9550,2403,46880,465080,65145947,478478,2776,2477,8973824,97942,56,146896615,1397409
"2020-10-29",220720,1060,24082,9320,2321,46191,462677,64667469,557364,2760,2399,8875882,89365,56,145499206,1362252
"2020-10-28",219660,1047,23883,9133,2461,45214,460356,64110105,471260,2744,2354,8786517,79700,56,144136954,1166654
"2020-10-27",218613,922,23701,8985,2290,44391,457895,63638845,382308,2719,2283,8706817,72255,56,142970300,1093419
"2020-10-26",217691,397,23542,8946,1697,42988,455605,63256537,568807,2703,2300,8634562,63430,56,141876881,1205888
"2020-10-25",217294,391,23420,8590,1076,41883,453908,62687730,425466,2693,2176,8571132,64471,56,140670993,1184919
"2020-10-24",216903,896,23356,8675,1822,42087,452832,62262264,471136,2691,2230,8506661,83792,56,139486074,1320573
"2020-10-23",216007,949,23221,8342,15058,41614,451010,61791128,561068,2679,2180,8422869,82575,56,138165501,1401201
"2020-10-22",215058,1117,23018,8180,2505,41114,435952,61230060,525631,2641,2147,8340294,73419,56,136764300,1276532
"2020-10-21",213941,1028,22855,8291,2123,40397,433447,60704429,368638,2622,2083,8266875,61710,56,135487768,1019406
"2020-10-20",212913,833,22662,8206,2309,39391,431324,60335791,371850,2593,2042,8205165,60574,56,134468362,991877
"2020-10-19",212080,443,22475,8063,1605,37976,429015,59963941,632065,2577,1804,8144591,57650,56,133476485,1113301
"2020-10-18",211637,405,22391,7383,813,36536,427410,59331876,352861,2557,1762,8086941,47957,56,132363184,1039823
"2020-10-17",211232,780,22320,7466,1546,37474,426597,58979015,465369,2553,1791,8038984,57675,56,131323361,1318484
"2020-10-16",210452,891,22202,7333,1866,37479,425051,58513646,511421,2547,1740,7981309,68505,56,130004877,1228097
"2020-10-15",209561,928,22051,7303,2010,37423,423185,58002225,460227,2531,1773,7912804,63641,56,128776780,1151108
"2020-10-14",208633,801,21889,7236,2437,37184,421175,57541998,289688,2516,1775,7849163,57240,56,127625672,1081371
"2020-10-13",207832,718,21735,7104,2058,36171,418738,57252310,398528,2485,1757,7791923,46979,56,126544301,1080529
"2020-10-12",207114,285,21625,6860,1106,35148,416680,56853782,489836,2464,1663,7744944,43234,56,125463772,1020226
"2020-10-11",206829,471,21553,6749,981,34609,415574,56363946,359942,2454,1646,7701710,46672,56,124443546,1067996
"2020-10-10",206358,691,21512,6752,1486,34700,414593,56004004,486053,2451,1667,7655038,57635,56,123375550,1242810
"2020-10-09",205667,913,21389,6775,1735,34974,413107,55517951,499689,2437,1651,7597403,56993,56,122132740,1236954
"2020-10-08",204754,979,21217,6694,2134,34446,411372,55018262,226637,2427,1638,7540410,55308,56,120895786,1204099
